"word","confidence","library","target","overlap_terms","source_file"
"soil","direct-wordnet-synonym-review","setup-classifier","Excavation Contractor","dirt land","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"dairying","direct-wordnet-synonym-review","setup-classifier","Farm / Agricultural Operation","farming dairy","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"husbandry","direct-wordnet-synonym-review","setup-classifier","Farm / Agricultural Operation","farming agriculture","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"fund","direct-wordnet-synonym-review","setup-classifier","Financial Advisor","investment","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"underwriter","direct-wordnet-synonym-review","setup-classifier","Financial Advisor","investment","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"airgun","direct-wordnet-synonym-review","setup-classifier","Firearms Dealer","gun rifle","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"graveyard","direct-wordnet-synonym-review","setup-classifier","Funeral Home","burial memorial cemetery","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mortician","direct-wordnet-synonym-review","setup-classifier","Funeral Home","funeral director","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"necropolis","direct-wordnet-synonym-review","setup-classifier","Funeral Home","burial memorial cemetery","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"undertaker","direct-wordnet-synonym-review","setup-classifier","Funeral Home","funeral director","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"construct","direct-wordnet-synonym-review","setup-classifier","General Contractor","build","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"overhaul","direct-wordnet-synonym-review","setup-classifier","General Contractor","renovation","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"recast","direct-wordnet-synonym-review","setup-classifier","General Contractor","remodel","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"redevelopment","direct-wordnet-synonym-review","setup-classifier","General Contractor","renovation","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"reforge","direct-wordnet-synonym-review","setup-classifier","General Contractor","remodel","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"foodstuff","direct-wordnet-synonym-review","setup-classifier","Grocery Store","grocery","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"exercising","direct-wordnet-synonym-review","setup-classifier","Gym / Fitness Center","workout exercise","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"jeweler","direct-wordnet-synonym-review","setup-classifier","Handmade / Craft Business","maker jewelry","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"jeweller","direct-wordnet-synonym-review","setup-classifier","Handmade / Craft Business","maker jewelry","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"manufactory","direct-wordnet-synonym-review","setup-classifier","Heavy Manufacturing","manufacturing plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"manufacture","direct-wordnet-synonym-review","setup-classifier","Heavy Manufacturing","manufacturing fabrication","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"shipbuilder","direct-wordnet-synonym-review","setup-classifier","Heavy Manufacturing","builder ship","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"shipwright","direct-wordnet-synonym-review","setup-classifier","Heavy Manufacturing","builder ship","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"steelworks","direct-wordnet-synonym-review","setup-classifier","Heavy Manufacturing","steel plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"infirmary","direct-wordnet-synonym-review","setup-classifier","Hospital","hospital","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"backup","direct-wordnet-synonym-review","setup-classifier","IT / Managed Services","computer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"barrow","direct-wordnet-synonym-review","setup-classifier","Landscaping","lawn garden","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"wheelbarrow","direct-wordnet-synonym-review","setup-classifier","Landscaping","lawn garden","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"washables","direct-wordnet-synonym-review","setup-classifier","Laundromat / Dry Cleaning","laundry wash","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"acres","direct-wordnet-synonym-review","setup-classifier","Law Firm","estate","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"assessor","direct-wordnet-synonym-review","setup-classifier","Law Firm","tax","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"chattel","direct-wordnet-synonym-review","setup-classifier","Law Firm","personal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"court","direct-wordnet-synonym-review","setup-classifier","Law Firm","law","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"crime","direct-wordnet-synonym-review","setup-classifier","Law Firm","law criminal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"damage","direct-wordnet-synonym-review","setup-classifier","Law Firm","injury","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"divorcement","direct-wordnet-synonym-review","setup-classifier","Law Firm","divorce","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"immovable","direct-wordnet-synonym-review","setup-classifier","Law Firm","estate","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"incorporated","direct-wordnet-synonym-review","setup-classifier","Law Firm","corporate","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"jurisprudence","direct-wordnet-synonym-review","setup-classifier","Law Firm","law","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"personalty","direct-wordnet-synonym-review","setup-classifier","Law Firm","estate personal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"prosecution","direct-wordnet-synonym-review","setup-classifier","Law Firm","criminal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"taxation","direct-wordnet-synonym-review","setup-classifier","Law Firm","tax","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"manufactory","direct-wordnet-synonym-review","setup-classifier","Light Manufacturing","manufacturing factory plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mill","direct-wordnet-synonym-review","setup-classifier","Light Manufacturing","manufacturing factory plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"steelworks","direct-wordnet-synonym-review","setup-classifier","Light Manufacturing","factory plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"doc","direct-wordnet-synonym-review","setup-classifier","Medical Practice","doctor physician","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"medico","direct-wordnet-synonym-review","setup-classifier","Medical Practice","doctor physician","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paediatrics","direct-wordnet-synonym-review","setup-classifier","Medical Practice","medicine pediatric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"pediatrics","direct-wordnet-synonym-review","setup-classifier","Medical Practice","medicine pediatric","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"alcoholism","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","addiction","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"drunkenness","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","addiction","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"inebriation","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","addiction","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"maltreatment","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","treatment abuse","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"misuse","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","abuse","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"unbalance","direct-wordnet-synonym-review","setup-classifier","Mental Health Practice","mental","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mortgagee","direct-wordnet-synonym-review","setup-classifier","Mortgage Broker","mortgage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"booker","direct-wordnet-synonym-review","setup-classifier","Music / Entertainment","booking agent","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"poinsettia","direct-wordnet-synonym-review","setup-classifier","Nursery / Greenhouse","plant flower","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"satinpod","direct-wordnet-synonym-review","setup-classifier","Nursery / Greenhouse","plant flower","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"ophthalmologist","direct-wordnet-synonym-review","setup-classifier","Optometry Practice","eye doctor","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"decorator","direct-wordnet-synonym-review","setup-classifier","Painting Contractor","house interior","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mural","direct-wordnet-synonym-review","setup-classifier","Painting Contractor","painting wall","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"bedbug","direct-wordnet-synonym-review","setup-classifier","Pest Control","bug bed","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"chinch","direct-wordnet-synonym-review","setup-classifier","Pest Control","bug bed","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"hemipteran","direct-wordnet-synonym-review","setup-classifier","Pest Control","bug insect","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"hemipteron","direct-wordnet-synonym-review","setup-classifier","Pest Control","bug insect","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"doghouse","direct-wordnet-synonym-review","setup-classifier","Pet Services","dog kennel","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antiarrhythmic","direct-wordnet-synonym-review","setup-classifier","Pharmacy","drug medication","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"medicament","direct-wordnet-synonym-review","setup-classifier","Pharmacy","drug medication","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"statin","direct-wordnet-synonym-review","setup-classifier","Pharmacy","drug medication","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"cinematography","direct-wordnet-synonym-review","setup-classifier","Photography / Videography","photography filming","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"physiatrics","direct-wordnet-synonym-review","setup-classifier","Physical Therapy Clinic","physical therapy physiotherapy","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"drainpipe","direct-wordnet-synonym-review","setup-classifier","Plumbing Contractor","pipe drain","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"effluent","direct-wordnet-synonym-review","setup-classifier","Plumbing Contractor","sewer water","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"wastewater","direct-wordnet-synonym-review","setup-classifier","Plumbing Contractor","sewer water","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"waterline","direct-wordnet-synonym-review","setup-classifier","Plumbing Contractor","water line","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"handout","direct-wordnet-synonym-review","setup-classifier","PR / Public Relations","press release","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"publish","direct-wordnet-synonym-review","setup-classifier","PR / Public Relations","release","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"report","direct-wordnet-synonym-review","setup-classifier","PR / Public Relations","reputation","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"letting","direct-wordnet-synonym-review","setup-classifier","Property Management","rental","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"acres","direct-wordnet-synonym-review","setup-classifier","Real Estate Brokerage / Agent","estate","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"demesne","direct-wordnet-synonym-review","setup-classifier","Real Estate Brokerage / Agent","estate","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"immovable","direct-wordnet-synonym-review","setup-classifier","Real Estate Brokerage / Agent","real estate realty","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"bean","direct-wordnet-synonym-review","setup-classifier","Restaurant","noodle","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"grinder","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"hero","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"hoagie","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"hoagy","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"sub","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"submarine","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"wedge","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"zep","direct-wordnet-synonym-review","setup-classifier","Restaurant","sandwich italian","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"watcher","direct-wordnet-synonym-review","setup-classifier","Security Guard Company","security guard","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"watchman","direct-wordnet-synonym-review","setup-classifier","Security Guard Company","security guard","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"coder","direct-wordnet-synonym-review","setup-classifier","Software Development","software engineer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"programmer","direct-wordnet-synonym-review","setup-classifier","Software Development","software engineer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accumulator","direct-wordnet-synonym-review","setup-classifier","Solar Energy Installer","battery storage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"grid","direct-wordnet-synonym-review","setup-classifier","Solar Energy Installer","battery storage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"cab","direct-wordnet-synonym-review","setup-classifier","Taxi / Rideshare / Limo","taxi","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"conveyance","direct-wordnet-synonym-review","setup-classifier","Taxi / Rideshare / Limo","transportation transport","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"taxicab","direct-wordnet-synonym-review","setup-classifier","Taxi / Rideshare / Limo","taxi","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"conveyance","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","transportation transport","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"lading","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","freight cargo","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"loading","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","freight cargo","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"payload","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","freight cargo","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"rig","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","trucking truck","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"semi","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","trucking truck","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"shipment","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","freight cargo","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"teamster","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","truck driver","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"trucker","direct-wordnet-synonym-review","setup-classifier","Trucking / Freight / Transportation","truck driver","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"examination","direct-wordnet-synonym-review","setup-classifier","Tutoring Center","test","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"examine","direct-wordnet-synonym-review","setup-classifier","Tutoring Center","test study","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"proof","direct-wordnet-synonym-review","setup-classifier","Tutoring Center","test","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"trial","direct-wordnet-synonym-review","setup-classifier","Tutoring Center","test","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"fibreoptic","direct-wordnet-synonym-review","setup-classifier","Utility / Pipeline Contractor","fiber optic","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"riser","direct-wordnet-synonym-review","setup-classifier","Utility / Pipeline Contractor","pipeline main","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"waterline","direct-wordnet-synonym-review","setup-classifier","Utility / Pipeline Contractor","line water","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"infirmary","direct-wordnet-synonym-review","setup-classifier","Veterinary Practice","hospital","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"adjunct","direct-wordnet-synonym-review","setup-classifier","Virtual Assistant Services","assistant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"supporter","direct-wordnet-synonym-review","setup-classifier","Virtual Assistant Services","assistant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"warehousing","direct-wordnet-synonym-review","setup-classifier","Warehousing / Self-Storage","warehousing storage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"ashcan","direct-wordnet-synonym-review","setup-classifier","Waste Management","trash garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"dump","direct-wordnet-synonym-review","setup-classifier","Waste Management","waste trash garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"dumpsite","direct-wordnet-synonym-review","setup-classifier","Waste Management","waste trash garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"dustbin","direct-wordnet-synonym-review","setup-classifier","Waste Management","trash garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"refuse","direct-wordnet-synonym-review","setup-classifier","Waste Management","waste garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"scrap","direct-wordnet-synonym-review","setup-classifier","Waste Management","trash junk","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"scrapheap","direct-wordnet-synonym-review","setup-classifier","Waste Management","trash garbage junk","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"scraps","direct-wordnet-synonym-review","setup-classifier","Waste Management","waste garbage","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
