"word","confidence","library","target","overlap_terms","source_file"
"fence","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","fencing","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"figure","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","design material","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"immovable","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","real estate","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"mortgagee","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","mortgage","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"national","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","interior","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"pavement","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","material paving","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"picture","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","moving painting","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"possession","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","self control","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"recast","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","remodel","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"reforge","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","remodel","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"seizure","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","control","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"substantial","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","real material","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"willpower","direct-wordnet-synonym-review","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","self control","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"apple","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","tree orchard","market-validation-api/src/domain/market-research/scoring.ts"
"funfair","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","ground park amusement carnival","market-validation-api/src/domain/market-research/scoring.ts"
"graveyard","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","ground park","market-validation-api/src/domain/market-research/scoring.ts"
"hangout","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","resort ground","market-validation-api/src/domain/market-research/scoring.ts"
"haunt","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","resort ground","market-validation-api/src/domain/market-research/scoring.ts"
"hemlock","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","winter tree","market-validation-api/src/domain/market-research/scoring.ts"
"necropolis","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","ground park","market-validation-api/src/domain/market-research/scoring.ts"
"plot","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","ground patch","market-validation-api/src/domain/market-research/scoring.ts"
"puddle","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","water pool","market-validation-api/src/domain/market-research/scoring.ts"
"revenue","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","tax income","market-validation-api/src/domain/market-research/scoring.ts"
"soda","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","pop water","market-validation-api/src/domain/market-research/scoring.ts"
"spell","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","tour patch","market-validation-api/src/domain/market-research/scoring.ts"
"taxation","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","tax income","market-validation-api/src/domain/market-research/scoring.ts"
"tonic","direct-wordnet-synonym-review","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","pop water","market-validation-api/src/domain/market-research/scoring.ts"
"alcoholism","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","alcohol","market-validation-api/src/domain/market-research/scoring.ts"
"daily","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","day","market-validation-api/src/domain/market-research/scoring.ts"
"drunkenness","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","alcohol","market-validation-api/src/domain/market-research/scoring.ts"
"indemnity","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","insurance","market-validation-api/src/domain/market-research/scoring.ts"
"inebriation","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","alcohol","market-validation-api/src/domain/market-research/scoring.ts"
"jurisprudence","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","law","market-validation-api/src/domain/market-research/scoring.ts"
"knead","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","massage","market-validation-api/src/domain/market-research/scoring.ts"
"mastermind","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","engineer","market-validation-api/src/domain/market-research/scoring.ts"
"order","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","law","market-validation-api/src/domain/market-research/scoring.ts"
"picnic","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","day","market-validation-api/src/domain/market-research/scoring.ts"
"wagon","direct-wordnet-synonym-review","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","estate","market-validation-api/src/domain/market-research/scoring.ts"
"bivouac","direct-wordnet-synonym-review","market-regex-noaa_climate_relevant_pattern","NOAA_CLIMATE_RELEVANT_PATTERN","camp ground","market-validation-api/src/domain/market-research/scoring.ts"
"encampment","direct-wordnet-synonym-review","market-regex-noaa_climate_relevant_pattern","NOAA_CLIMATE_RELEVANT_PATTERN","camp ground","market-validation-api/src/domain/market-research/scoring.ts"
"close","direct-wordnet-synonym-review","market-regex-premium_price_pattern","PREMIUM_PRICE_PATTERN","end","market-validation-api/src/domain/market-research/scoring.ts"
"lavishness","direct-wordnet-synonym-review","market-regex-premium_price_pattern","PREMIUM_PRICE_PATTERN","luxury","market-validation-api/src/domain/market-research/scoring.ts"
"price","direct-wordnet-synonym-review","market-regex-premium_price_pattern","PREMIUM_PRICE_PATTERN","price","market-validation-api/src/domain/market-research/scoring.ts"
"seat","direct-wordnet-synonym-review","market-regex-premium_price_pattern","PREMIUM_PRICE_PATTERN","end","market-validation-api/src/domain/market-research/scoring.ts"
"aged","direct-wordnet-synonym-review","market-regex-senior_focus_pattern","SENIOR_FOCUS_PATTERN","senior elderly","market-validation-api/src/domain/market-research/scoring.ts"
"direction","direct-wordnet-synonym-review","market-regex-senior_focus_pattern","SENIOR_FOCUS_PATTERN","focus","market-validation-api/src/domain/market-research/scoring.ts"
"older","direct-wordnet-synonym-review","market-regex-senior_focus_pattern","SENIOR_FOCUS_PATTERN","senior elder elderly","market-validation-api/src/domain/market-research/scoring.ts"
"corn","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","whiskey whisky","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"joint","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","marijuana cigarette","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"reefer","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","marijuana cigarette","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"rye","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","whiskey whisky","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"scotch","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","whiskey whisky","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"spliff","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","marijuana cigarette","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"stick","direct-wordnet-synonym-review","market-regex-special_federal_license_pattern","SPECIAL_FEDERAL_LICENSE_PATTERN","marijuana cigarette","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"accommodate","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","fit","market-validation-api/src/domain/market-research/scoring.ts"
"cab","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","taxi","market-validation-api/src/domain/market-research/scoring.ts"
"delight","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","transport","market-validation-api/src/domain/market-research/scoring.ts"
"equip","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","fit","market-validation-api/src/domain/market-research/scoring.ts"
"fit","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","fit","market-validation-api/src/domain/market-research/scoring.ts"
"lading","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","freight","market-validation-api/src/domain/market-research/scoring.ts"
"lap","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","wash","market-validation-api/src/domain/market-research/scoring.ts"
"loading","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","freight","market-validation-api/src/domain/market-research/scoring.ts"
"mileage","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","gas fuel","market-validation-api/src/domain/market-research/scoring.ts"
"motor","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","drive","market-validation-api/src/domain/market-research/scoring.ts"
"outfit","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","fit","market-validation-api/src/domain/market-research/scoring.ts"
"payload","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","freight","market-validation-api/src/domain/market-research/scoring.ts"
"pusher","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","dealer","market-validation-api/src/domain/market-research/scoring.ts"
"ram","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","drive","market-validation-api/src/domain/market-research/scoring.ts"
"repel","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","drive","market-validation-api/src/domain/market-research/scoring.ts"
"restroom","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","wash station","market-validation-api/src/domain/market-research/scoring.ts"
"rig","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","truck trucking","market-validation-api/src/domain/market-research/scoring.ts"
"sampler","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","station","market-validation-api/src/domain/market-research/scoring.ts"
"send","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","transport station","market-validation-api/src/domain/market-research/scoring.ts"
"shipment","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","freight","market-validation-api/src/domain/market-research/scoring.ts"
"taxicab","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","taxi","market-validation-api/src/domain/market-research/scoring.ts"
"tripe","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","wash","market-validation-api/src/domain/market-research/scoring.ts"
"waggon","direct-wordnet-synonym-review","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","station","market-validation-api/src/domain/market-research/scoring.ts"
"bakehouse","direct-wordnet-synonym-review","overpass-osm-tag","bakeries","bakery bakeshop","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"coffeehouse","direct-wordnet-synonym-review","overpass-osm-tag","cafes/coffee shops","coffee cafe","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"doc","direct-wordnet-synonym-review","overpass-osm-tag","doctors'/medical offices","physician doctor","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"medico","direct-wordnet-synonym-review","overpass-osm-tag","doctors'/medical offices","physician doctor","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"court","direct-wordnet-synonym-review","overpass-osm-tag","hotels/lodging","hotel inn","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"jurisprudence","direct-wordnet-synonym-review","overpass-osm-tag","law offices","law","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"banknote","direct-wordnet-synonym-review","registry-reserved-word","banking","bank banker federal","registry-api/src/reservedWords.ts"
"greenback","direct-wordnet-synonym-review","registry-reserved-word","banking","bank banker federal","registry-api/src/reservedWords.ts"
"note","direct-wordnet-synonym-review","registry-reserved-word","banking","bank banker federal","registry-api/src/reservedWords.ts"
"banknote","direct-wordnet-synonym-review","registry-reserved-word","government","government federal reserve","registry-api/src/reservedWords.ts"
"bureau","direct-wordnet-synonym-review","registry-reserved-word","government","government federal","registry-api/src/reservedWords.ts"
"fed","direct-wordnet-synonym-review","registry-reserved-word","government","federal reserve","registry-api/src/reservedWords.ts"
"greenback","direct-wordnet-synonym-review","registry-reserved-word","government","government federal reserve","registry-api/src/reservedWords.ts"
"note","direct-wordnet-synonym-review","registry-reserved-word","government","government federal reserve","registry-api/src/reservedWords.ts"
"politics","direct-wordnet-synonym-review","registry-reserved-word","government","government","registry-api/src/reservedWords.ts"
"porter","direct-wordnet-synonym-review","registry-reserved-word","government","guard","registry-api/src/reservedWords.ts"
"ward","direct-wordnet-synonym-review","registry-reserved-word","government","guard","registry-api/src/reservedWords.ts"
"underwriter","direct-wordnet-synonym-review","registry-reserved-word","insurance","insurance insurer","registry-api/src/reservedWords.ts"
"join","direct-wordnet-synonym-review","regulatory-status","Credit Union","union","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"unionist","direct-wordnet-synonym-review","regulatory-status","Credit Union","union","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"banknote","direct-wordnet-synonym-review","regulatory-status","Government Contractor","government federal","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"bureau","direct-wordnet-synonym-review","regulatory-status","Government Contractor","government federal","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"greenback","direct-wordnet-synonym-review","regulatory-status","Government Contractor","government federal","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"note","direct-wordnet-synonym-review","regulatory-status","Government Contractor","government federal","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"watcher","direct-wordnet-synonym-review","regulatory-status","Private Security/Guard License","security guard","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"watchman","direct-wordnet-synonym-review","regulatory-status","Private Security/Guard License","security guard","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"adviser","direct-wordnet-synonym-review","regulatory-status","Registered Investment Adviser","adviser advisor","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"consultant","direct-wordnet-synonym-review","regulatory-status","Registered Investment Adviser","adviser advisor","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"accountancy","direct-wordnet-synonym-review","setup-classifier","Accounting / Bookkeeping / Tax Preparation","accounting","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"generate","direct-wordnet-synonym-review","setup-classifier","Accounting / Bookkeeping / Tax Preparation","return","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"qualified","direct-wordnet-synonym-review","setup-classifier","Accounting / Bookkeeping / Tax Preparation","certified","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"withstand","direct-wordnet-synonym-review","setup-classifier","Accounting / Bookkeeping / Tax Preparation","firm","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"bantu","direct-wordnet-synonym-review","setup-classifier","AI Services","language","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"calculator","direct-wordnet-synonym-review","setup-classifier","AI Services","machine computer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"lisp","direct-wordnet-synonym-review","setup-classifier","AI Services","language processing","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mainframe","direct-wordnet-synonym-review","setup-classifier","AI Services","computer processing","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"outpouring","direct-wordnet-synonym-review","setup-classifier","AI Services","natural","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"reservoir","direct-wordnet-synonym-review","setup-classifier","AI Services","artificial","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"selection","direct-wordnet-synonym-review","setup-classifier","AI Services","natural","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"sight","direct-wordnet-synonym-review","setup-classifier","AI Services","vision","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"simulation","direct-wordnet-synonym-review","setup-classifier","AI Services","model computer","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"thrasher","direct-wordnet-synonym-review","setup-classifier","AI Services","machine","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"thresher","direct-wordnet-synonym-review","setup-classifier","AI Services","machine","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"changer","direct-wordnet-synonym-review","setup-classifier","Auto Dealership","auto","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"brakes","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","brake","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"deplete","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","exhaust","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"locomotive","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","engine","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"rocket","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","engine","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"sap","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","tire exhaust","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"send","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","station","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"skid","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","brake","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"stoplight","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","brake","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"travel","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","change","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"turnaround","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","change","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"upkeep","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","maintenance","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"waggon","direct-wordnet-synonym-review","setup-classifier","Auto Repair Shop","station","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"rusk","direct-wordnet-synonym-review","setup-classifier","Bakery","bread baked","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"sweet","direct-wordnet-synonym-review","setup-classifier","Bakery","dessert confection","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"zwieback","direct-wordnet-synonym-review","setup-classifier","Bakery","bread baked","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"booze","direct-wordnet-synonym-review","setup-classifier","Brewery / Winery","spirits drink hard","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"saloon","direct-wordnet-synonym-review","setup-classifier","Brewery / Winery","house taproom","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"answer","direct-wordnet-synonym-review","setup-classifier","Car Wash","serve","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"autosuggestion","direct-wordnet-synonym-review","setup-classifier","Car Wash","auto self","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"suffice","direct-wordnet-synonym-review","setup-classifier","Car Wash","serve","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"repast","direct-wordnet-synonym-review","setup-classifier","Catering Service","meal","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"manufactory","direct-wordnet-synonym-review","setup-classifier","Chemical Manufacturing","manufacturing plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"mill","direct-wordnet-synonym-review","setup-classifier","Chemical Manufacturing","manufacturing plant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"works","direct-wordnet-synonym-review","setup-classifier","Chemical Manufacturing","plant industrial","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"babe","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","infant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"baby","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","infant","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"babyhood","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","early childhood","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"bambino","direct-wordnet-synonym-review","setup-classifier","Childcare Center / Daycare","toddler","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
