"word","already_lexically_mapped","confidence","library","target","score","overlap_terms","wordnet_synonym_tokens","wordnet_gloss_sample","source_file"
"abode","no","wordnet-gloss-synonym-candidate","market-regex-senior_focus_pattern","SENIOR_FOCUS_PATTERN","3.5","living home","dwelling home domicile abode habitation house residence","housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""   / any address at which you dwell more than temporarily; ""a person can have several residences""  ","market-validation-api/src/domain/market-research/scoring.ts"
"abode","no","wordnet-gloss-synonym-candidate","setup-classifier","Home Health Agency","3.5","home living","dwelling home domicile abode habitation house residence","housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""   / any address at which you dwell more than temporarily; ""a person can have several residences""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abode","no","wordnet-gloss-synonym-candidate","setup-classifier","General Contractor","3.5","home homes","dwelling home domicile abode habitation house residence","housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""   / any address at which you dwell more than temporarily; ""a person can have several residences""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abode","no","wordnet-gloss-synonym-candidate","setup-classifier","Real Estate Brokerage / Agent","3.5","home homes","dwelling home domicile abode habitation house residence","housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""   / any address at which you dwell more than temporarily; ""a person can have several residences""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aboriginal","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","people life","native indigen indigene aborigine aboriginal primal primeval primaeval primordial","an indigenous person who was born in a particular place; ""the art of the natives of the northwest coast""; ""the Canadian government scrapped plans to tax the grants to aboriginal college students""   / having existed from the beginning; in an earliest or original stage or state; ""aboriginal forests""; ""primal eras before the appearance of life on earth""; ""the forest primeval""; ""primordial matter""; ""primordial forms of life""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abort","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","process life","abort","the act of terminating a project or procedure before it is completed; ""I wasted a year of my life working on an abort""; ""he sent a short message requesting an abort due to extreme winds in the area""   / terminate a pregnancy by undergoing an abortion  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abound","no","wordnet-gloss-synonym-candidate","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","5.0","children toddlers","abound burst bristle","be abundant or plentiful; exist in large quantities   / be in a state of movement or action; ""The room abounded with screaming children""; ""The garden bristled with toddlers""  ","market-validation-api/src/domain/market-research/scoring.ts"
"about","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","3.5","car used","approximately about close just some roughly more less around almost most nearly near nigh virtually well","(of quantities) imprecise but fairly close to correct; ""lasted approximately an hour""; ""in just about a minute""; ""he's about 30 years old""; ""I've had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundred pounds""; ""roughly $3,000""; ""holds 3 gallons, more or less""; ""20 or so people were at the party""   / in the area or vicinity; ""a few spectators standing about""; ""hanging around""; ""waited around for the next flight""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abradant","no","wordnet-gloss-synonym-candidate","setup-classifier","AI Services","5.0","machine tool","abrader abradant abrasive material","a tool or machine used for wearing down or smoothing or polishing   / a substance that abrades or wears down  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abrader","no","wordnet-gloss-synonym-candidate","setup-classifier","AI Services","5.0","machine tool","abrader abradant","a tool or machine used for wearing down or smoothing or polishing  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abs","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","3.5","car used","acrylonitrile butadiene styrene abs","any of a class of composite plastics used to make car bodies and cases for computers and other appliances  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"absolute","no","wordnet-gloss-synonym-candidate","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","5.0","law alcohol","absolute infrangible inviolable downright out rank right down sheer","something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative; ""no mortal being can influence the absolute""   / perfect or complete or pure; ""absolute loyalty""; ""absolute silence""; ""absolute truth""; ""absolute alcohol""  ","market-validation-api/src/domain/market-research/scoring.ts"
"absolute","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","change human","absolute infrangible inviolable downright out rank right down sheer","something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative; ""no mortal being can influence the absolute""   / perfect or complete or pure; ""absolute loyalty""; ""absolute silence""; ""absolute truth""; ""absolute alcohol""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"absorb","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","7.5","tax income water","absorb engross engage occupy steep immerse engulf plunge soak assimilate ingest take suck imbibe sop draw","cause to become one with; ""The sales tax is absorbed into the state income tax""   / consume all of one's attention or time; ""Her interest in butterflies absorbs her completely""  ","market-validation-api/src/domain/market-research/scoring.ts"
"absorb","no","wordnet-gloss-synonym-candidate","setup-classifier","Personal Training","5.0","strength one","absorb engross engage occupy steep immerse engulf plunge soak assimilate ingest take suck imbibe sop draw","cause to become one with; ""The sales tax is absorbed into the state income tax""   / consume all of one's attention or time; ""Her interest in butterflies absorbs her completely""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"absorption","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","7.5","mental substance social","preoccupation preoccupancy absorption engrossment concentration immersion soaking assimilation","the mental state of being preoccupied by something   / complete attention; intense mental effort  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abstractionist","no","wordnet-gloss-synonym-candidate","compliance-business-type-synonym","painting","5.0","painting painter","abstractionist abstract artist nonfigurative nonobjective","a painter of abstract pictures   / not representing or imitating external reality or the objects of nature; ""a large abstract painting""  ","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"abstractionist","no","wordnet-gloss-synonym-candidate","setup-classifier","Painting Contractor","5.0","painting painter","abstractionist abstract artist nonfigurative nonobjective","a painter of abstract pictures   / not representing or imitating external reality or the objects of nature; ""a large abstract painting""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuse","yes","wordnet-gloss-synonym-candidate","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","6.0","health child alcohol","maltreatment ill treatment usage abuse misuse insult revilement contumely vilification pervert clapperclaw blackguard shout mistreat maltreat","cruel or inhumane treatment; ""the child showed signs of physical abuse""   / improper or excessive use; ""alcohol abuse""; ""the abuse of public funds""  ","market-validation-api/src/domain/market-research/scoring.ts"
"abuse","yes","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","6.0","health treatment abuse","maltreatment ill treatment usage abuse misuse insult revilement contumely vilification pervert clapperclaw blackguard shout mistreat maltreat","cruel or inhumane treatment; ""the child showed signs of physical abuse""   / improper or excessive use; ""alcohol abuse""; ""the abuse of public funds""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuse","yes","wordnet-gloss-synonym-candidate","setup-classifier","Hospital","3.5","health system","maltreatment ill treatment usage abuse misuse insult revilement contumely vilification pervert clapperclaw blackguard shout mistreat maltreat","cruel or inhumane treatment; ""the child showed signs of physical abuse""   / improper or excessive use; ""alcohol abuse""; ""the abuse of public funds""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuse","yes","wordnet-gloss-synonym-candidate","setup-classifier","Insurance Agency","3.5","health workers","maltreatment ill treatment usage abuse misuse insult revilement contumely vilification pervert clapperclaw blackguard shout mistreat maltreat","cruel or inhumane treatment; ""the child showed signs of physical abuse""   / improper or excessive use; ""alcohol abuse""; ""the abuse of public funds""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abused","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","treatment substance","abused ill treated maltreated mistreated","subjected to cruel treatment; ""an abused wife""   / used improperly or excessively especially drugs; ""an abused substance""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academic","yes","wordnet-gloss-synonym-candidate","registry-reserved-word","education","7.5","university college academy","academician academic faculty member donnish pedantic","an educator who works at a college or university   / hypothetical or theoretical and not expected to produce an immediate or practical result; ""an academic discussion""; ""an academic question""  ","registry-api/src/reservedWords.ts"
"academic","yes","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","7.5","academic learning college","academician academic faculty member donnish pedantic","an educator who works at a college or university   / hypothetical or theoretical and not expected to produce an immediate or practical result; ""an academic discussion""; ""an academic question""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academician","no","wordnet-gloss-synonym-candidate","registry-reserved-word","education","7.5","university college academy","academician academic faculty member schoolman","an educator who works at a college or university   / a scholar who is skilled in academic disputation  ","registry-api/src/reservedWords.ts"
"academician","no","wordnet-gloss-synonym-candidate","regulatory-status","Credit Union","5.0","member membership","academician academic faculty member schoolman","an educator who works at a college or university   / a scholar who is skilled in academic disputation  ","desk_business/lib/models/setup/business_structure/reference_tables.dart"
"academician","no","wordnet-gloss-synonym-candidate","setup-classifier","Credit Union","5.0","member membership","academician academic faculty member schoolman","an educator who works at a college or university   / a scholar who is skilled in academic disputation  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academician","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","academic college","academician academic faculty member schoolman","an educator who works at a college or university   / a scholar who is skilled in academic disputation  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academy","yes","wordnet-gloss-synonym-candidate","setup-classifier","Private School","7.5","private school academy","academy honorary society","a learned establishment for the advancement of knowledge   / a school for special training  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accede","no","wordnet-gloss-synonym-candidate","setup-classifier","Cleaning / Janitorial Service","5.0","office pressure","assent accede acquiesce submit bow defer give enter","to agree or express agreement; ""The Maestro assented to the request for an encore""   / yield to another's wish or opinion; ""The government bowed to the military pressure""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accelerated","no","wordnet-gloss-synonym-candidate","setup-classifier","Childcare Center / Daycare","5.0","school program","accelerated","speeded up, as of an academic course; ""in an accelerated program in school""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accelerated","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","academic program","accelerated","speeded up, as of an academic course; ""in an accelerated program in school""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accelerated","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","course program","accelerated","speeded up, as of an academic course; ""in an accelerated program in school""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accelerator","no","wordnet-gloss-synonym-candidate","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","5.0","gas fuel","accelerator throttle valve particle atom smasher pedal gas gun catalyst","a valve that regulates the supply of fuel to the engine   / a scientific instrument that increases the kinetic energy of charged particles  ","market-validation-api/src/domain/market-research/scoring.ts"
"accent","no","wordnet-gloss-synonym-candidate","setup-classifier","Gym / Fitness Center","5.0","group exercise","accent mark stress emphasis speech pattern dialect idiom accentuate emphasize emphasise punctuate","a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation   / the relative prominence of a syllable or musical note (especially with regard to stress or pitch); ""he put the stress on the wrong syllable""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accent","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","change people","accent mark stress emphasis speech pattern dialect idiom accentuate emphasize emphasise punctuate","a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation   / the relative prominence of a syllable or musical note (especially with regard to stress or pitch); ""he put the stress on the wrong syllable""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accept","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","5.0","used new","accept live swallow consent take admit bear assume","tolerate or accommodate oneself to; ""I shall have to accept these unpleasant working conditions""; ""I swallowed the insult""; ""She has learned to live with her husband's little idiosyncrasies""   / consider or hold as true; ""I cannot accept the dogma of this church""; ""accept an argument""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accept","no","wordnet-gloss-synonym-candidate","setup-classifier","Music / Entertainment","5.0","music live","accept live swallow consent take admit bear assume","tolerate or accommodate oneself to; ""I shall have to accept these unpleasant working conditions""; ""I swallowed the insult""; ""She has learned to live with her husband's little idiosyncrasies""   / consider or hold as true; ""I cannot accept the dogma of this church""; ""accept an argument""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accept","no","wordnet-gloss-synonym-candidate","setup-classifier","Gym / Fitness Center","3.5","health group","accept live swallow consent take admit bear assume","tolerate or accommodate oneself to; ""I shall have to accept these unpleasant working conditions""; ""I swallowed the insult""; ""She has learned to live with her husband's little idiosyncrasies""   / consider or hold as true; ""I cannot accept the dogma of this church""; ""accept an argument""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"acceptance","no","wordnet-gloss-synonym-candidate","registry-reserved-word","banking","6.0","banking bank banker","acceptance adoption acceptation espousal toleration sufferance credence banker","the act of taking something that is offered; ""her acceptance of the gift encouraged him""; ""he anticipated their acceptance of his offer""   / the act of accepting with approval; favorable reception; ""its adoption by society""; ""the proposal found wide acceptance""  ","registry-api/src/reservedWords.ts"
"acceptance","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","3.5","mental practice","acceptance adoption acceptation espousal toleration sufferance credence banker","the act of taking something that is offered; ""her acceptance of the gift encouraged him""; ""he anticipated their acceptance of his offer""   / the act of accepting with approval; favorable reception; ""its adoption by society""; ""the proposal found wide acceptance""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"acceptance","no","wordnet-gloss-synonym-candidate","setup-classifier","Bank / Financial Institution","3.5","bank banking","acceptance adoption acceptation espousal toleration sufferance credence banker","the act of taking something that is offered; ""her acceptance of the gift encouraged him""; ""he anticipated their acceptance of his offer""   / the act of accepting with approval; favorable reception; ""its adoption by society""; ""the proposal found wide acceptance""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"access","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","5.0","storage building","access approach memory entree accession admission admittance code get","the act of approaching or entering; ""he gained access to the building""   / a way of entering or leaving; ""he took a wrong turn on the access to the bridge""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"access","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","act reading","access approach memory entree accession admission admittance code get","the act of approaching or entering; ""he gained access to the building""   / a way of entering or leaving; ""he took a wrong turn on the access to the bridge""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"access","no","wordnet-gloss-synonym-candidate","setup-classifier","IT / Managed Services","5.0","network computer","access approach memory entree accession admission admittance code get","the act of approaching or entering; ""he gained access to the building""   / a way of entering or leaving; ""he took a wrong turn on the access to the bridge""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"access","no","wordnet-gloss-synonym-candidate","setup-classifier","Cybersecurity Services","5.0","information network","access approach memory entree accession admission admittance code get","the act of approaching or entering; ""he gained access to the building""   / a way of entering or leaving; ""he took a wrong turn on the access to the bridge""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accession","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","5.0","property improvement","accession rise power entree access admission admittance assenting addition","the act of attaining or gaining access to a new office or right or position (especially the throne); ""Elizabeth's accession in 1558""   / the right to enter  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"accession","no","wordnet-gloss-synonym-candidate","setup-classifier","General Contractor","5.0","improvement addition","accession rise power entree access admission admittance assenting addition","the act of attaining or gaining access to a new office or right or position (especially the throne); ""Elizabeth's accession in 1558""   / the right to enter  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accession","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","law property","accession rise power entree access admission admittance assenting addition","the act of attaining or gaining access to a new office or right or position (especially the throne); ""Elizabeth's accession in 1558""   / the right to enter  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accession","no","wordnet-gloss-synonym-candidate","setup-classifier","Cleaning / Janitorial Service","5.0","office power","accession rise power entree access admission admittance assenting addition","the act of attaining or gaining access to a new office or right or position (especially the throne); ""Elizabeth's accession in 1558""   / the right to enter  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accession","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","process improvement","accession rise power entree access admission admittance assenting addition","the act of attaining or gaining access to a new office or right or position (especially the throne); ""Elizabeth's accession in 1558""   / the right to enter  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accident","no","wordnet-gloss-synonym-candidate","setup-classifier","Physical Therapy Clinic","5.0","stroke injury","accident stroke fortuity chance event","anything that happens suddenly or by chance without an apparent cause; ""winning the lottery was a happy accident""; ""the pregnancy was a stroke of bad luck""; ""it was due to an accident or fortuity""   / an unfortunate mishap; especially one causing damage or injury  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodate","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","7.5","change resources people","adapt accommodate reconcile conciliate oblige lodge suit fit hold admit","make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""   / make (one thing) compatible with (another); ""The scientists had to accommodate the new results with the existing theories""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodate","no","wordnet-gloss-synonym-candidate","overpass-osm-tag","hotels/lodging","5.0","lodging hotel","adapt accommodate reconcile conciliate oblige lodge suit fit hold admit","make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""   / make (one thing) compatible with (another); ""The scientists had to accommodate the new results with the existing theories""  ","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"accommodate","no","wordnet-gloss-synonym-candidate","setup-classifier","Hotel / Motel / Inn","5.0","hotel lodging","adapt accommodate reconcile conciliate oblige lodge suit fit hold admit","make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""   / make (one thing) compatible with (another); ""The scientists had to accommodate the new results with the existing theories""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodate","no","wordnet-gloss-synonym-candidate","market-regex-vehicle_fit_relevant_pattern","VEHICLE_FIT_RELEVANT_PATTERN","4.5","fit food car","adapt accommodate reconcile conciliate oblige lodge suit fit hold admit","make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""   / make (one thing) compatible with (another); ""The scientists had to accommodate the new results with the existing theories""  ","market-validation-api/src/domain/market-research/scoring.ts"
"accommodate","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","3.5","car new","adapt accommodate reconcile conciliate oblige lodge suit fit hold admit","make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""   / make (one thing) compatible with (another); ""The scientists had to accommodate the new results with the existing theories""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodation","yes","wordnet-gloss-synonym-candidate","setup-classifier","Optometry Practice","5.0","eye lens","accommodation adjustment fitting","(physiology) the automatic adjustment in focal length of the natural lens of the eye   / the act of providing something (lodging or seat or food) to meet a need  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodation","yes","wordnet-gloss-synonym-candidate","setup-classifier","Hotel / Motel / Inn","5.0","lodging accommodations","accommodation adjustment fitting","(physiology) the automatic adjustment in focal length of the natural lens of the eye   / the act of providing something (lodging or seat or food) to meet a need  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodation","yes","wordnet-gloss-synonym-candidate","setup-classifier","Grocery Store","3.5","food natural","accommodation adjustment fitting","(physiology) the automatic adjustment in focal length of the natural lens of the eye   / the act of providing something (lodging or seat or food) to meet a need  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodational","no","wordnet-gloss-synonym-candidate","setup-classifier","Optometry Practice","5.0","eye lens","accommodational","of or relating to the accommodation of the lens of the eye; ""accommodational strain""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accouchement","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","process human","childbirth childbearing accouchement vaginal birth","the parturition process in human beings; having a baby; the process of giving birth to a child  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"account","yes","wordnet-gloss-synonym-candidate","setup-classifier","Accounting / Bookkeeping / Tax Preparation","8.5","accounting statement accounts small","account history chronicle story bill invoice report news write explanation score accounting statement relationship answer describe","the quality of taking advantage; ""she turned her writing skills to good account""   / importance or value; ""a person of considerable account""; ""he predicted that although it is of small account now it will rapidly increase in importance""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
