added_to_code,phrase,decision,library,target,source,reason
yes,plumbing service,add,setup-classifier,Plumbing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pipe fitting,add,setup-classifier,Plumbing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,drain cleaning service,add,setup-classifier,Plumbing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,heating contractor,add,setup-classifier,HVAC Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cooling contractor,add,setup-classifier,HVAC Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,air conditioning service,add,setup-classifier,HVAC Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,hvac service,add,setup-classifier,HVAC Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,roof repair,add,setup-classifier,Roofing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,roofing company,add,setup-classifier,Roofing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,roof contractor,add,setup-classifier,Roofing Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,lawn service,add,setup-classifier,Landscaping,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,yard care,add,setup-classifier,Landscaping,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,garden service,add,setup-classifier,Landscaping,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,landscape company,add,setup-classifier,Landscaping,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,concrete company,add,setup-classifier,Concrete Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cement contractor,add,setup-classifier,Concrete Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,flatwork contractor,add,setup-classifier,Concrete Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,house painter,add,setup-classifier,Painting Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,painting company,add,setup-classifier,Painting Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,paint contractor,add,setup-classifier,Painting Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,excavating company,add,setup-classifier,Excavation Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,earth moving,add,setup-classifier,Excavation Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,site work contractor,add,setup-classifier,Excavation Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,building contractor,add,setup-classifier,General Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,construction company,add,setup-classifier,General Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,remodeling contractor,add,setup-classifier,General Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,home renovation contractor,add,setup-classifier,General Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,home builder contractor,add,setup-classifier,General Contractor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,rental management company,add,setup-classifier,Property Management,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,property manager office,add,setup-classifier,Property Management,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,tenant placement,add,setup-classifier,Property Management,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,land development company,add,setup-classifier,Real Estate Developer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,property developer,add,setup-classifier,Real Estate Developer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,housing developer,add,setup-classifier,Real Estate Developer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,estate agent,add,setup-classifier,Real Estate Brokerage / Agent,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,realtor office,add,setup-classifier,Real Estate Brokerage / Agent,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,brokerage firm,add,setup-classifier,Real Estate Brokerage / Agent,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,real estate office,add,setup-classifier,Real Estate Brokerage / Agent,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,legal counsel,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,attorney office,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,lawyer office,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,divorce lawyer,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,criminal defense firm,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,legal practice,add,setup-classifier,Law Firm,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,mortgage company,add,setup-classifier,Mortgage Broker,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,loan broker,add,setup-classifier,Mortgage Broker,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,home loan broker,add,setup-classifier,Mortgage Broker,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wealth management,add,setup-classifier,Financial Advisor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,investment advisor,add,setup-classifier,Financial Advisor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,financial planning,add,setup-classifier,Financial Advisor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,financial planner,add,setup-classifier,Financial Advisor,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,insurance broker,add,setup-classifier,Insurance Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,insurance office,add,setup-classifier,Insurance Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,insurance company,add,setup-classifier,Insurance Agency,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,tax preparer,add,setup-classifier,Accounting / Bookkeeping / Tax Preparation,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,tax preparation service,add,setup-classifier,Accounting / Bookkeeping / Tax Preparation,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,bookkeeping service,add,setup-classifier,Accounting / Bookkeeping / Tax Preparation,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,accounting office,add,setup-classifier,Accounting / Bookkeeping / Tax Preparation,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,accounting firm,add,setup-classifier,Accounting / Bookkeeping / Tax Preparation,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,chemical plant,add,setup-classifier,Chemical Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,chemical factory,add,setup-classifier,Chemical Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,chemical works,add,setup-classifier,Chemical Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,machine shop,add,setup-classifier,Light Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,fabrication shop,add,setup-classifier,Light Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,assembly shop,add,setup-classifier,Light Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,manufacturing plant,add,setup-classifier,Heavy Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,industrial plant,add,setup-classifier,Heavy Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,steel mill,add,setup-classifier,Heavy Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,ship building,add,setup-classifier,Heavy Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,food processing plant,add,setup-classifier,Food Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,food factory,add,setup-classifier,Food Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,beverage manufacturer,add,setup-classifier,Food Manufacturing,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,day nursery,add,setup-classifier,Childcare Center / Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,child care center,add,setup-classifier,Childcare Center / Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,nursery school,add,setup-classifier,Childcare Center / Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,early learning center,add,setup-classifier,Childcare Center / Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,home day care,add,setup-classifier,Home Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,family daycare,add,setup-classifier,Home Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,in home daycare,add,setup-classifier,Home Daycare,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,independent school,add,setup-classifier,Private School,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,boarding school,add,setup-classifier,Private School,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,private academy,add,setup-classifier,Private School,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,test prep center,add,setup-classifier,Tutoring Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,learning center,add,setup-classifier,Tutoring Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,academic tutoring,add,setup-classifier,Tutoring Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,study center,add,setup-classifier,Tutoring Center,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,gun dealer,add,setup-classifier,Firearms Dealer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,firearm shop,add,setup-classifier,Firearms Dealer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,ammo shop,add,setup-classifier,Firearms Dealer,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,marijuana dispensary,add,setup-classifier,Cannabis Dispensary,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,cannabis shop,add,setup-classifier,Cannabis Dispensary,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,weed dispensary,add,setup-classifier,Cannabis Dispensary,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,package store,add,setup-classifier,Liquor Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,wine shop,add,setup-classifier,Liquor Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,beer store,add,setup-classifier,Liquor Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,retail shop,add,setup-classifier,Retail Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,specialty store,add,setup-classifier,Retail Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,general store,add,setup-classifier,Retail Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,thrift store,add,setup-classifier,Secondhand / Consignment Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,resale shop,add,setup-classifier,Secondhand / Consignment Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,consignment shop,add,setup-classifier,Secondhand / Consignment Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pawnbroker shop,add,setup-classifier,Pawn Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,pawn broker,add,setup-classifier,Pawn Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,collateral lender,add,setup-classifier,Pawn Shop,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,craft shop,add,setup-classifier,Handmade / Craft Business,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,artisan studio,add,setup-classifier,Handmade / Craft Business,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,handmade goods,add,setup-classifier,Handmade / Craft Business,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,online shop,add,setup-classifier,E-commerce / Online Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,internet store,add,setup-classifier,E-commerce / Online Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
yes,web store,add,setup-classifier,E-commerce / Online Store,curated domain phrase promotion,Common business phrase or practitioner/service alias for this classifier target.
